# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
332000 0.12575 -0.394572 -0.103589 -0.000643175 -0.000291124 -0.00282931 -0.00129186
333000 0.12625 -0.430269 -0.113003 0.00259145 0.00117628 -0.00144862 -0.000661298
334000 0.12675 -0.377663 -0.0991845 -0.0032101 -0.00145403 0.000617929 0.00028319
335000 0.12725 -0.324626 -0.0853164 0.00124373 0.000561726 0.000707751 0.000322316
336000 0.12775 -0.321848 -0.0846098 0.00146188 0.000661281 -0.00261111 -0.00119354
337000 0.12825 -0.286732 -0.0753903 -0.00277798 -0.00125859 -0.000662773 -0.00030182
338000 0.12875 -0.248351 -0.0653226 0.00134747 0.000607589 0.00116959 0.000529845
339000 0.12925 -0.235313 -0.0619113 0.00143931 0.000651949 -0.00354236 -0.00161411
340000 0.12975 -0.189866 -0.0499737 -0.000433469 -0.000194855 -0.000873906 -0.000395537
341000 0.13025 -0.163791 -0.0431232 -0.00101654 -0.00045883 0.0037383 0.00170375
342000 0.13075 -0.123348 -0.0325067 -0.00217361 -0.000982033 -0.00239275 -0.00108743
343000 0.13125 -0.0532244 -0.0140295 -0.00180991 -0.000817276 -0.00017745 -8.10868e-05
344000 0.13175 -0.0563936 -0.0148737 0.00255599 0.00115406 0.000871479 0.000396009
345000 0.13225 0.00946763 0.00249362 -0.00174153 -0.000787144 0.0015976 0.00072655
346000 0.13275 0.0148127 0.00390743 0.00248711 0.00112313 0.00254833 0.00116019
347000 0.13325 0.0455202 0.01201 -0.00385864 -0.00174263 -0.00554892 -0.00252767
348000 0.13375 0.043459 0.0114684 0.00170186 0.000766864 0.00355821 0.00161911
349000 0.13425 0.12677 0.0334445 0.000662907 0.000297334 -0.000167048 -7.8321e-05
350000 0.13475 0.179688 0.0474513 0.000788901 0.000354514 -0.000626485 -0.000285531
351000 0.13525 0.216203 0.0571011 -4.25037e-05 -1.9768e-05 -0.00286766 -0.00130468
